Bld_types,Bld_code,NS,HA,RD,P,SD,C,ST
O,1,8,31,13,3,21,22,3
O,1,8,22,20,8,29,34,16
O,1,9,29,13,5,17,31,5
O,1,10,16,12,3,36,32,3
O,1,10,31,14,6,30,24,3
O,1,10,22,12,5,18,24,16
O,1,11,25,7,7,26,19,4
O,1,11,26,19,2,28,36,8
O,1,11,19,17,5,32,32,5
O,1,11,21,14,6,22,34,8
O,1,11,20,18,5,33,33,5
O,1,12,29,11,2,17,18,3
O,1,12,26,15,7,27,28,12
O,1,12,20,13,5,28,30,10
O,1,12,28,12,6,29,30,12
O,1,12,24,13,7,31,32,9
O,1,12,28,16,5,24,34,13
O,1,12,30,20,4,21,32,7
O,1,13,26,16,7,21,29,9
O,1,13,34,13,5,15,27,9
O,1,13,32,16,7,7,39,9
O,1,14,29,15,3,16,22,6
O,1,14,20,14,2,34,22,5
O,1,14,21,13,3,31,25,8
O,1,14,26,13,4,26,31,10
O,1,14,16,18,6,29,36,17
O,1,14,27,14,0,20,29,10
O,1,14,22,13,6,31,29,4
O,1,14,16,18,6,29,36,17
O,1,14,31,19,3,18,28,12
O,1,14,28,13,5,24,24,4
O,1,14,14,13,5,35,25,11
O,1,14,20,14,2,34,22,5
O,1,14,19,15,8,28,36,14
O,1,15,13,17,5,34,35,6
O,1,15,18,15,6,29,35,11
O,1,15,31,11,5,26,35,13
O,1,15,19,13,4,35,25,5
O,1,15,25,19,4,29,37,10
O,1,15,29,14,3,22,27,6
O,1,15,17,16,4,36,30,6
O,1,15,17,15,4,39,36,8
O,1,16,19,14,5,39,29,18
O,1,16,19,12,8,28,28,11
O,1,16,22,19,4,29,32,5
O,1,16,29,15,5,24,28,15
O,1,16,25,14,2,30,23,5
O,1,16,24,13,4,28,33,7
O,1,16,16,12,7,31,30,12
O,1,16,14,13,3,28,23,8
O,1,16,20,17,5,30,37,16
O,1,16,27,18,7,25,31,8
O,1,16,29,13,1,26,15,4
O,1,16,16,12,6,24,24,9
O,1,16,17,14,4,33,27,3
O,1,16,24,14,3,31,27,9
O,1,16,30,14,2,23,21,4
O,1,16,20,16,6,34,27,9
O,1,17,32,12,5,18,18,2
O,1,17,26,10,3,15,24,9
O,1,17,24,13,3,28,23,5
O,1,17,22,16,5,28,27,10
O,1,17,23,19,5,27,28,10
O,1,17,24,17,4,32,32,5
O,1,17,13,13,3,36,23,6
O,1,17,25,13,3,23,25,10
O,1,17,28,11,6,17,22,17
O,1,17,24,14,7,31,32,12
O,1,17,20,16,5,28,21,10
O,1,17,24,16,6,29,24,8
O,1,17,31,9,2,10,28,25
O,1,17,20,13,2,25,25,16
O,1,17,25,17,6,30,28,9
O,1,17,26,15,3,29,28,7
O,1,17,22,16,4,38,26,6
O,1,17,29,16,7,24,31,8
O,1,17,21,19,7,36,33,8
O,1,17,29,10,4,20,25,10
O,1,17,29,14,4,25,27,10
O,1,17,19,17,4,35,30,3
O,1,18,14,13,3,39,34,7
O,1,18,20,19,8,39,28,6
O,1,18,24,13,7,35,29,10
O,1,18,29,12,4,30,27,14
O,1,18,27,19,4,23,36,7
O,1,18,33,13,3,13,25,7
O,1,18,20,11,4,36,23,11
O,1,18,16,16,3,39,36,21
O,1,18,23,15,7,32,27,8
O,1,18,20,14,8,30,31,12
O,1,18,17,15,6,26,34,12
O,1,18,21,15,6,23,26,3
O,1,18,17,9,3,29,30,7
O,1,18,20,15,4,34,24,9
O,1,18,27,16,4,12,28,6
O,1,18,25,12,4,22,27,5
O,1,18,21,19,5,32,31,10
O,1,18,24,15,6,30,24,6
O,1,19,25,15,2,22,30,8
O,1,19,25,19,4,22,34,15
O,1,19,26,17,5,22,37,15
O,1,19,23,20,4,25,29,7
O,1,19,28,17,4,25,31,13
O,1,19,21,19,4,29,31,16
O,1,19,17,13,4,28,23,19
O,1,19,18,13,5,35,26,9
O,1,19,21,12,3,30,27,10
O,1,19,16,18,6,35,24,4
O,1,19,11,19,5,37,34,18
O,1,19,18,12,6,24,29,18
O,1,19,23,17,7,28,27,15
O,1,19,23,11,6,25,22,12
O,1,19,16,16,7,35,32,8
O,1,19,18,19,3,29,26,15
O,1,19,23,19,2,18,26,9
O,1,19,26,9,1,19,23,3
O,1,19,26,17,6,16,31,12
O,1,19,28,14,3,22,25,20
O,1,19,16,16,7,35,32,8
O,1,19,21,19,4,29,31,16
O,1,19,21,12,1,22,18,20
O,1,19,18,19,3,29,26,15
O,1,19,20,17,4,30,32,5
O,1,19,23,17,3,32,28,6
O,1,19,19,19,5,27,29,11
O,1,19,23,13,5,35,27,4
O,1,19,20,12,3,32,30,7
O,1,20,23,10,5,20,27,6
O,1,20,26,14,7,22,37,17
O,1,20,30,15,5,19,21,12
O,1,20,20,18,5,27,26,9
O,1,20,24,16,4,30,30,7
O,1,20,23,10,5,25,23,8
O,1,20,17,14,6,18,22,18
O,1,20,26,17,7,13,30,13
O,1,20,19,14,3,35,23,3
O,1,20,26,15,3,29,29,7
O,1,20,21,11,4,35,28,12
O,1,20,21,15,5,28,27,4
O,1,20,14,18,2,22,33,10
O,1,20,21,19,5,31,30,11
O,1,20,22,14,2,30,27,10
O,1,20,19,12,2,27,18,6
O,1,20,19,14,8,33,29,6
O,1,20,18,18,3,32,29,8
O,1,20,11,16,5,33,36,10
O,1,20,7,15,3,27,34,6
O,1,20,13,17,5,40,30,5
O,1,20,21,17,4,20,27,9
O,1,20,24,16,4,24,36,14
O,1,20,15,18,4,30,26,8
O,1,20,15,19,3,31,31,5
O,1,20,18,10,4,33,29,4
O,1,20,23,16,4,32,28,2
O,1,20,16,14,1,29,25,7
O,1,20,23,14,4,34,27,6
O,1,20,11,14,8,40,34,8
O,1,20,3,11,6,40,37,16
O,1,20,21,14,6,30,31,16
O,1,20,22,10,2,24,22,14
O,1,20,26,9,5,33,28,12
O,1,21,19,13,4,30,27,11
O,1,21,9,19,4,26,35,20
O,1,21,21,17,4,23,35,12
O,1,21,22,19,2,23,28,7
O,1,21,18,9,4,22,25,12
O,1,21,27,10,3,12,27,14
