no,sex,age,p1,p2,p3,p4,p5,p6,p7,y
1,2,37,0,0,1,0,0,1,1,3
2,2,32,1,1,1,1,0,1,1,6
3,1,59,1,0,1,0,1,1,1,5
4,2,33,0,1,0,0,1,1,1,4
5,2,55,1,1,1,1,1,1,1,7
6,2,33,0,0,1,0,0,1,0,2
7,1,39,0,1,1,1,1,1,0,5
8,2,45,1,0,1,0,0,1,0,3
9,1,50,0,0,1,0,0,1,0,2
10,1,45,1,1,1,0,1,1,1,6
11,2,39,1,1,1,1,1,1,1,7
12,1,49,1,1,1,1,1,1,1,7
13,2,33,1,1,1,1,1,1,1,7
14,1,47,0,0,0,0,0,1,0,1
15,2,41,0,1,1,1,0,1,1,5
16,1,47,0,0,1,0,1,1,1,4
17,2,42,0,0,1,0,0,0,0,1
18,1,46,0,1,1,1,1,0,1,5
19,1,40,1,1,1,1,1,1,0,6
20,1,38,0,1,1,1,1,1,1,6
21,2,35,0,0,0,0,0,0,0,0
22,2,55,1,0,1,0,0,1,1,4
23,2,38,0,1,1,0,1,1,0,4
24,2,36,0,0,1,0,0,1,0,2
25,2,27,0,1,1,0,1,1,1,5
26,2,56,0,1,1,0,1,1,0,4
27,2,58,0,0,1,0,1,0,0,2
28,2,59,1,1,1,0,1,1,0,5
29,2,29,0,0,1,0,1,1,1,4
30,2,59,0,1,1,0,1,1,0,4
31,2,54,1,1,1,1,1,1,1,7
32,1,36,1,1,1,1,1,1,1,7
33,1,22,1,1,1,1,1,1,1,7
34,2,42,0,0,1,0,1,1,1,4
35,2,58,0,1,1,0,1,1,0,4
36,2,50,0,0,1,0,1,1,1,4
37,2,49,0,0,1,0,0,1,0,2
38,1,50,0,1,1,1,1,0,0,4
39,2,36,1,1,1,1,1,1,1,7
40,2,38,0,1,1,0,1,1,1,5
41,1,51,1,1,1,0,1,1,1,6
42,2,43,1,1,1,1,0,1,1,6
43,1,33,0,0,1,0,0,1,1,3
44,2,50,0,0,1,0,0,1,0,2
45,2,56,0,0,1,0,1,1,1,4
46,1,33,1,0,1,0,1,1,0,4
47,2,41,1,1,1,1,1,1,1,7
48,1,52,1,1,1,1,1,1,1,7
49,2,33,0,1,1,0,1,1,1,5
50,1,46,1,1,1,1,1,1,1,7
51,2,55,0,0,0,0,0,0,0,0
52,2,54,0,1,1,1,0,1,1,5
53,1,43,0,1,1,0,1,1,0,4
54,1,20,0,0,1,0,1,1,0,3
55,2,58,0,1,1,0,0,1,1,4
56,1,34,0,1,1,1,1,1,0,5
57,2,30,0,1,1,0,1,1,0,4
58,1,54,0,0,1,0,0,1,0,2
59,2,51,0,1,1,0,0,1,0,3
60,1,56,0,0,0,0,0,0,0,0
61,2,25,0,1,1,0,1,1,1,5
62,2,49,1,1,1,1,1,1,1,7
63,1,58,1,1,1,0,1,1,1,6
64,2,46,0,0,1,0,1,1,1,4
65,1,53,0,1,1,0,1,1,0,4
66,2,38,0,0,1,0,0,0,0,1
67,1,34,1,1,1,1,1,0,0,5
68,1,22,1,1,1,1,1,1,1,7
69,2,43,0,1,0,0,0,1,1,3
70,1,47,0,0,0,1,1,1,1,4
71,1,56,0,1,1,0,1,1,0,4
72,2,29,0,0,1,1,1,1,1,5
73,1,34,0,1,1,1,1,1,0,5
74,2,49,0,1,1,1,0,1,0,4
75,2,40,0,1,1,0,0,0,0,2
76,1,57,0,0,1,0,0,0,0,1
77,2,37,0,0,1,0,0,1,0,2
78,2,31,0,1,1,1,1,1,1,6
79,2,20,0,0,1,0,1,1,1,4
80,2,58,0,1,1,0,0,1,1,4
81,2,29,1,0,1,0,1,0,0,3
82,1,39,0,0,1,0,0,1,0,2
83,1,37,1,1,1,1,1,1,1,7
84,2,42,0,1,1,1,1,1,1,6
85,1,29,0,1,1,1,1,1,1,6
86,2,43,1,0,1,0,0,1,0,3
87,2,27,1,0,1,0,0,1,0,3
88,1,36,1,0,1,1,1,1,1,6
89,1,40,0,1,1,0,0,1,0,3
90,2,19,1,1,1,0,1,1,1,6
91,1,57,0,0,1,1,1,1,1,5
92,2,42,1,1,1,1,1,1,0,6
93,1,53,0,0,1,1,1,1,0,4
94,1,59,1,1,1,1,1,1,0,6
95,2,48,1,1,1,1,1,1,0,6
96,1,49,0,1,1,0,1,1,0,4
97,2,28,1,1,1,0,1,1,0,5
98,1,39,0,0,1,0,0,1,0,2
99,1,47,1,1,1,1,1,1,1,7
100,1,31,1,1,1,1,1,1,1,7
101,1,41,0,0,1,0,1,1,1,4
102,1,33,0,0,1,1,1,1,1,5
103,2,55,1,1,1,1,1,1,1,7
104,1,47,1,0,1,0,1,1,0,4
105,1,52,0,1,1,0,1,1,0,4
106,2,20,0,0,0,0,1,1,0,2
107,1,48,0,1,1,1,1,1,1,6
108,2,39,0,0,1,1,0,1,0,3
109,2,26,1,0,1,0,1,1,1,5
110,1,39,0,0,1,0,0,0,0,1
111,2,54,1,0,1,0,1,1,1,5
112,1,25,1,1,1,1,1,1,1,7
113,1,50,0,0,1,0,0,1,1,3
114,2,47,1,0,1,0,1,1,1,5
115,2,29,1,1,1,0,1,1,0,5
116,1,48,1,1,1,1,0,1,0,5
117,2,24,1,1,1,1,1,1,1,7
118,1,50,1,0,1,0,1,1,1,5
119,1,29,0,0,1,0,1,1,0,3
