ID,C,U,A,Delay
1,1,73,96,30
1,1,57,96,7
1,1,73,85,13
1,0,96,73,30
1,1,73,85,3
1,1,85,73,3
1,1,96,85,30
1,0,85,57,13
1,1,57,85,3
1,0,57,57,13
1,1,57,73,7
1,0,73,73,1
1,1,57,73,1
1,1,73,57,13
1,0,96,85,3
1,1,73,57,1
1,1,57,96,30
1,0,57,57,30
1,1,96,85,13
1,1,85,96,1
1,1,73,96,3
1,1,57,85,13
1,1,85,85,1
1,0,96,57,7
1,0,96,73,13
1,1,85,85,3
1,1,57,85,7
1,1,96,85,7
1,1,85,96,7
1,1,96,96,30
1,1,96,96,13
1,0,96,73,1
1,1,73,73,13
1,1,57,85,1
1,1,57,73,30
1,1,57,96,1
1,1,73,57,30
1,1,96,85,1
1,0,73,57,3
1,1,85,73,13
1,1,73,85,1
1,0,85,57,1
1,1,73,73,7
1,1,73,96,13
1,1,85,73,1
1,0,96,57,3
1,1,96,96,7
1,1,73,85,7
1,1,85,96,3
1,0,96,73,3
1,0,85,57,30
1,1,96,96,1
1,1,73,85,30
1,1,85,85,7
1,1,96,96,3
1,1,73,96,7
1,0,85,73,7
1,1,73,73,30
1,1,73,73,3
1,1,57,96,13
1,0,85,96,30
1,0,96,57,1
1,1,57,96,3
1,0,96,57,30
1,0,85,57,7
1,1,57,57,7
1,1,73,57,7
1,1,85,85,30
1,1,57,57,3
1,0,96,73,7
1,1,57,85,30
1,1,85,85,13
1,0,96,57,13
1,1,57,57,1
1,1,57,73,3
1,1,85,73,30
1,1,85,96,13
1,1,57,73,13
1,1,73,96,1
1,0,85,57,3
2,1,40,45,7
2,0,70,40,7
2,0,55,45,7
2,0,45,40,13
2,0,55,55,3
2,1,40,55,7
2,0,70,70,30
2,1,45,70,30
2,1,40,55,1
2,0,40,40,1
2,1,55,70,7
2,0,45,40,30
2,0,55,55,30
2,0,70,70,7
2,1,40,70,3
2,0,45,40,7
2,1,45,70,1
2,0,55,55,1
2,0,55,70,3
2,0,45,70,7
2,0,40,55,30
2,0,70,40,3
2,1,55,70,1
2,0,70,45,1
2,1,40,40,3
2,0,40,45,30
2,0,45,45,13
2,0,70,40,1
2,0,40,40,7
2,0,55,45,3
2,0,45,55,7
2,0,70,45,3
2,1,45,70,3
2,0,55,55,13
2,0,40,70,13
2,0,40,45,13
2,0,45,40,1
2,0,40,40,13
2,0,45,45,1
2,0,45,45,7
2,0,45,45,30
2,0,70,45,30
2,0,45,40,3
2,0,70,40,30
2,0,70,45,13
2,0,45,45,3
2,0,45,70,13
2,0,55,40,3
2,0,55,40,13
2,0,70,55,7
2,0,70,70,13
2,0,55,70,30
2,0,40,55,13
2,0,55,40,7
2,1,40,70,7
2,0,55,70,13
2,0,55,40,1
2,0,40,45,3
2,1,40,55,3
2,0,55,45,30
2,0,70,70,3
2,0,70,55,1
2,1,40,70,1
2,0,70,45,7
2,0,70,55,30
2,0,40,40,30
2,0,45,55,3
2,0,55,40,30
2,0,70,40,13
2,0,55,45,1
2,0,45,55,13
2,0,70,55,13
2,0,45,55,30
2,1,45,55,1
2,0,55,45,13
2,0,70,55,3
2,0,55,55,7
2,0,40,70,30
2,0,70,70,1
2,1,40,45,1
3,0,63,39,3
3,1,30,100,1
3,0,63,30,3
3,0,30,30,13
3,0,30,39,3
3,1,39,63,3
3,1,63,100,1
3,1,30,63,30
3,0,100,30,13
3,0,39,39,3
3,0,30,30,1
3,0,100,100,13
3,0,63,30,7
3,1,30,63,1
3,1,39,63,13
3,0,63,63,30
3,0,100,39,3
3,1,39,30,13
3,1,39,30,30
3,0,100,100,3
3,0,30,39,13
3,1,39,100,7
3,0,100,39,7
3,0,30,30,3
3,1,30,63,3
3,1,30,100,13
3,0,100,39,1
3,1,30,100,3
3,0,63,63,1
3,0,100,63,7
3,0,100,39,13
3,0,100,100,7
3,0,63,39,30
3,1,30,63,7
3,1,39,100,30
3,0,39,39,30
3,0,100,30,1
3,1,63,100,3
3,1,39,100,1
3,0,100,100,1
3,1,39,63,1
3,0,30,39,30
3,1,39,63,7
3,0,39,39,1
3,0,30,39,7
3,1,39,100,13
3,0,39,39,13
3,0,100,63,3
3,1,39,100,3
3,1,30,100,7
3,0,30,30,7
3,0,63,39,13
3,0,63,63,3
3,0,100,39,30
3,0,100,100,30
3,0,30,30,30
3,0,63,30,30
3,1,63,100,13
3,1,39,63,30
3,0,63,63,13
3,0,30,39,1
3,1,39,30,7
3,0,100,30,3
3,0,63,30,1
3,0,100,63,1
3,0,63,30,13
3,1,39,30,1
3,0,100,63,13
3,0,39,39,7
3,0,100,63,30
3,1,63,100,30
3,1,30,100,30
3,1,39,30,3
3,0,63,39,7
3,1,30,63,13
3,0,63,63,7
3,0,100,30,30
3,0,100,30,7
3,1,63,100,7
3,0,63,39,1
4,0,87,77,13
4,1,60,87,13
4,0,77,60,13
4,1,60,80,13
4,1,87,87,1
4,0,77,60,3
4,1,80,77,30
4,1,77,80,7
4,0,80,77,1
4,1,87,77,1
4,0,80,60,13
4,1,87,80,30
4,1,77,77,3
4,1,60,60,7
4,1,80,80,3
4,0,80,87,7
4,1,77,87,13
4,1,60,87,1
4,1,60,77,1
4,1,60,80,1
4,1,60,80,7
4,0,77,60,1
4,1,80,87,3
4,1,60,60,13
4,1,60,80,3
4,1,80,87,1
4,1,60,77,7
4,1,77,87,30
4,0,87,60,30
4,1,87,77,30
4,0,87,60,13
4,1,60,60,1
4,1,80,80,7
4,0,80,60,7
4,0,77,60,30
4,1,80,87,13
4,1,77,87,7
4,1,77,77,1
4,1,87,80,13
4,1,87,77,3
4,1,87,87,13
4,1,77,80,3
4,1,77,87,3
4,1,77,77,13
4,0,87,60,3
4,1,60,60,3
4,1,60,87,7
4,1,60,77,3
4,1,60,87,3
4,1,77,80,1
4,1,60,80,30
4,1,60,87,30
4,1,87,87,30
4,1,87,87,3
4,1,80,77,13
4,1,77,80,13
4,1,87,80,7
4,1,80,87,30
4,1,80,77,3
4,1,80,80,1
4,1,77,77,7
4,1,60,77,30
4,1,60,77,13
4,1,80,80,13
4,1,87,80,1
4,1,77,87,1
4,0,80,60,30
4,1,80,80,30
4,1,77,80,30
4,0,80,60,3
4,1,87,77,7
4,1,87,87,7
4,0,87,60,1
4,1,80,77,7
4,1,77,77,30
4,0,80,60,1
4,1,60,60,30
4,1,87,80,3
4,0,87,60,7
4,0,77,60,7
5,1,11,16,13
5,1,26,11,13
5,1,16,16,3
5,1,26,26,3
5,1,16,26,30
5,1,11,26,3
5,1,5,26,3
5,1,11,11,1
5,1,5,26,7
5,1,5,11,13
5,1,16,26,1
5,1,5,26,30
5,1,5,16,30
5,0,11,5,7
5,0,5,5,30
5,1,26,16,13
5,1,11,16,3
5,1,16,26,3
5,0,11,26,30
5,0,26,5,1
5,0,11,5,30
5,1,16,16,1
5,1,26,16,3
5,0,11,5,13
5,0,5,5,1
5,0,16,5,7
5,1,11,11,13
5,1,5,16,1
5,1,5,16,3
5,1,11,26,1
5,1,5,11,30
5,1,26,16,30
5,1,26,11,7
5,1,11,11,7
5,1,5,11,3
5,1,16,16,7
5,1,16,11,1
5,0,26,5,30
5,0,16,11,3
5,0,26,16,1
5,1,11,16,1
5,1,16,26,7
5,1,26,26,7
5,1,11,26,7
5,1,16,16,30
5,1,11,11,3
5,0,5,5,3
5,0,11,5,3
5,0,16,5,13
5,1,11,26,13
5,0,11,5,1
5,1,16,16,13
5,1,26,26,13
5,1,5,26,13
5,0,26,5,3
5,0,26,5,13
5,0,16,11,7
5,1,5,11,7
5,0,26,11,1
5,0,16,11,13
5,0,16,5,3
5,0,26,16,7
5,1,26,11,30
5,1,26,11,3
5,1,11,16,30
5,0,26,5,7
5,0,11,11,30
5,0,16,5,30
5,0,11,16,7
5,1,16,26,13
5,0,5,5,7
5,0,16,5,1
5,1,5,16,13
5,0,5,5,13
5,1,5,11,1
5,1,26,26,1
5,1,5,16,7
5,1,5,26,1
5,1,26,26,30
5,0,16,11,30
6,1,11,11,13
6,1,11,50,3
6,1,50,50,13
6,0,11,11,7
6,1,50,44,7
6,0,50,11,1
6,0,50,11,7
6,1,40,44,13
6,1,50,40,3
6,0,40,11,13
6,0,40,11,1
6,0,50,50,3
6,1,44,40,1
6,1,11,40,3
