trial,total_score,raw_score,bonus
1,93.701,90.52,3.181
2,95.437,92.308,3.129
3,96.781,94.293,2.488
4,97.541,94.737,2.804
5,95.656,92.916,2.74
6,98.654,96.266,2.388
7,99.339,97.087,2.252
8,98.411,96.071,2.34
9,98.426,95.954,2.472
10,99.742,97.936,1.806
11,98.764,96.894,1.87
12,98.174,96.242,1.932
13,97.726,95.663,2.063
14,98.665,96.485,2.18
15,98.709,96.645,2.064
16,97.416,95.328,2.088
17,97.671,95.535,2.136
18,96.935,94.657,2.278
19,97.589,95.386,2.203
20,97.023,94.745,2.278
21,97.652,95.666,1.986
22,98.514,96.535,1.979
23,98.445,96.433,2.012
24,98.92,97.318,1.602
25,98.002,96.284,1.718
26,98.906,97.174,1.732
27,97.588,95.586,2.002
28,99.139,97.653,1.486
29,97.73,95.888,1.842
30,100,98.57,1.43
