年代,演者,審査員,val,val_z
13,ジャルジャル,上沼恵美子,90,0.42
13,和牛,上沼恵美子,95,1.12
13,ミキ,上沼恵美子,95,1.12
13,さや香,上沼恵美子,90,0.42
13,マヂカルラブリー,上沼恵美子,83,-0.57
13,かまいたち,上沼恵美子,89,0.28
13,スーパーマラドーナ,上沼恵美子,89,0.28
13,とろサーモン,上沼恵美子,93,0.84
13,カミナリ,上沼恵美子,90,0.42
13,ゆにばーす,上沼恵美子,90,0.42
12,銀シャリ,上沼恵美子,95,1.12
12,和牛,上沼恵美子,95,1.12
12,スーパーマラドーナ,上沼恵美子,93,0.84
12,さらば青春の光,上沼恵美子,91,0.56
12,アキナ,上沼恵美子,89,0.28
12,ハライチ,上沼恵美子,93,0.84
12,カミナリ,上沼恵美子,81,-0.85
12,スリムクラブ,上沼恵美子,89,0.28
12,相席スタート,上沼恵美子,90,0.42
9,パンクブーブー,上沼恵美子,98,1.54
9,笑い飯,上沼恵美子,98,1.54
9,NON STYLE,上沼恵美子,98,1.54
9,ナイツ,上沼恵美子,93,0.84
9,ハライチ,上沼恵美子,91,0.56
9,東京ダイナマイト,上沼恵美子,90,0.42
9,モンスターエンジン,上沼恵美子,90,0.42
9,南海キャンディーズ,上沼恵美子,90,0.42
9,ハリセンボン,上沼恵美子,87,0
8,NON STYLE,上沼恵美子,95,1.12
8,オードリー,上沼恵美子,92,0.7
8,ナイツ,上沼恵美子,95,1.12
8,笑い飯,上沼恵美子,95,1.12
8,U字工事,上沼恵美子,93,0.84
8,ダイアン,上沼恵美子,90,0.42
8,モンスターエンジン,上沼恵美子,85,-0.28
8,キングコング,上沼恵美子,90,0.42
8,ザ・パンチ,上沼恵美子,88,0.14
7,サンドウィッチマン,上沼恵美子,95,1.12
7,トータルテンボス,上沼恵美子,95,1.12
7,キングコング,上沼恵美子,97,1.4
7,ハリセンボン,上沼恵美子,93,0.84
7,笑い飯,上沼恵美子,89,0.28
7,ザブングル,上沼恵美子,92,0.7
7,ダイアン,上沼恵美子,89,0.28
7,千鳥,上沼恵美子,85,-0.28
7,POISON GIRL BAND,上沼恵美子,81,-0.85
13,ジャルジャル,松本人志,95,1.12
13,和牛,松本人志,93,0.84
13,ミキ,松本人志,94,0.98
13,さや香,松本人志,90,0.42
13,マヂカルラブリー,松本人志,84,-0.43
13,かまいたち,松本人志,91,0.56
13,スーパーマラドーナ,松本人志,90,0.42
13,とろサーモン,松本人志,92,0.7
13,カミナリ,松本人志,85,-0.28
13,ゆにばーす,松本人志,87,0
12,銀シャリ,松本人志,95,1.12
12,和牛,松本人志,93,0.84
12,スーパーマラドーナ,松本人志,89,0.28
12,さらば青春の光,松本人志,90,0.42
12,アキナ,松本人志,87,0
12,ハライチ,松本人志,85,-0.28
12,カミナリ,松本人志,89,0.28
12,スリムクラブ,松本人志,90,0.42
12,相席スタート,松本人志,84,-0.43
10,笑い飯,松本人志,96,1.26
10,スリムクラブ,松本人志,96,1.26
10,パンクブーブー,松本人志,97,1.4
10,ピース,松本人志,89,0.28
10,銀シャリ,松本人志,90,0.42
10,ナイツ,松本人志,88,0.14
10,ハライチ,松本人志,86,-0.14
10,ジャルジャル,松本人志,87,0
10,カナリア,松本人志,85,-0.28
9,パンクブーブー,松本人志,93,0.84
9,笑い飯,松本人志,95,1.12
9,NON STYLE,松本人志,92,0.7
9,ナイツ,松本人志,85,-0.28
9,ハライチ,松本人志,88,0.14
9,東京ダイナマイト,松本人志,88,0.14
9,モンスターエンジン,松本人志,83,-0.57
9,南海キャンディーズ,松本人志,83,-0.57
9,ハリセンボン,松本人志,80,-0.99
8,NON STYLE,松本人志,93,0.84
8,オードリー,松本人志,95,1.12
8,ナイツ,松本人志,93,0.84
8,笑い飯,松本人志,89,0.28
8,U字工事,松本人志,85,-0.28
8,ダイアン,松本人志,85,-0.28
8,モンスターエンジン,松本人志,83,-0.57
8,キングコング,松本人志,86,-0.14
8,ザ・パンチ,松本人志,80,-0.99
7,サンドウィッチマン,松本人志,95,1.12
7,トータルテンボス,松本人志,93,0.84
7,キングコング,松本人志,93,0.84
7,ハリセンボン,松本人志,88,0.14
7,笑い飯,松本人志,85,-0.28
7,ザブングル,松本人志,90,0.42
7,ダイアン,松本人志,85,-0.28
7,千鳥,松本人志,80,-0.99
7,POISON GIRL BAND,松本人志,90,0.42
6,チュートリアル,松本人志,95,1.12
6,フットボールアワー,松本人志,90,0.42
6,麒麟,松本人志,87,0
6,笑い飯,松本人志,89,0.28
6,トータルテンボス,松本人志,90,0.42
6,ライセンス,松本人志,85,-0.28
6,ザ・プラン9,松本人志,80,-0.99
6,変ホ長調,松本人志,75,-1.69
6,POISON GIRL BAND,松本人志,85,-0.28
5,ブラックマヨネーズ,松本人志,95,1.12
5,笑い飯,松本人志,95,1.12
5,麒麟,松本人志,90,0.42
5,品川庄司,松本人志,90,0.42
5,チュートリアル,松本人志,95,1.12
5,千鳥,松本人志,80,-0.99
5,タイムマシーン3号,松本人志,75,-1.69
5,アジアン,松本人志,70,-2.39
5,南海キャンディーズ,松本人志,75,-1.69
13,ジャルジャル,博多大吉,91,0.56
13,和牛,博多大吉,94,0.98
13,ミキ,博多大吉,91,0.56
13,さや香,博多大吉,90,0.42
13,マヂカルラブリー,博多大吉,88,0.14
13,かまいたち,博多大吉,92,0.7
13,スーパーマラドーナ,博多大吉,93,0.84
13,とろサーモン,博多大吉,93,0.84
13,カミナリ,博多大吉,91,0.56
13,ゆにばーす,博多大吉,92,0.7
12,銀シャリ,博多大吉,93,0.84
12,和牛,博多大吉,91,0.56
12,スーパーマラドーナ,博多大吉,92,0.7
12,さらば青春の光,博多大吉,90,0.42
12,アキナ,博多大吉,89,0.28
12,ハライチ,博多大吉,89,0.28
12,カミナリ,博多大吉,90,0.42
12,スリムクラブ,博多大吉,88,0.14
12,相席スタート,博多大吉,87,0
3,フットボールアワー,博多大吉,97,1.4
3,笑い飯,博多大吉,95,1.12
3,アンタッチャブル,博多大吉,84,-0.43
3,2丁拳銃,博多大吉,80,-0.99
3,りあるキッズ,博多大吉,85,-0.28
3,スピードワゴン,博多大吉,74,-1.83
3,アメリカザリガニ,博多大吉,70,-2.39
3,麒麟,博多大吉,75,-1.69
3,千鳥,博多大吉,70,-2.39
2,ますだおかだ,博多大吉,70,-2.39
2,フットボールアワー,博多大吉,85,-0.28
2,笑い飯,博多大吉,80,-0.99
2,おぎやはぎ,博多大吉,80,-0.99
2,ハリガネロック,博多大吉,65,-3.09
2,テツandトモ,博多大吉,65,-3.09
2,スピードワゴン,博多大吉,75,-1.69
2,ダイノジ,博多大吉,60,-3.79
2,アメリカザリガニ,博多大吉,60,-3.79
1,中川家,博多大吉,70,-2.39
1,ハリガネロック,博多大吉,60,-3.79
1,アメリカザリガニ,博多大吉,65,-3.09
1,ますだおかだ,博多大吉,70,-2.39
1,麒麟,博多大吉,75,-1.69
1,フットボールアワー,博多大吉,55,-4.49
1,キングコング,博多大吉,55,-4.49
1,チュートリアル,博多大吉,50,-5.19
1,DonDokoDon,博多大吉,65,-3.09
1,おぎやはぎ,博多大吉,60,-3.79
13,ジャルジャル,春風亭小朝,90,0.42
13,和牛,春風亭小朝,94,0.98
13,ミキ,春風亭小朝,92,0.7
13,さや香,春風亭小朝,90,0.42
13,マヂカルラブリー,春風亭小朝,89,0.28
13,かまいたち,春風亭小朝,90,0.42
13,スーパーマラドーナ,春風亭小朝,91,0.56
13,とろサーモン,春風亭小朝,93,0.84
13,カミナリ,春風亭小朝,90,0.42
13,ゆにばーす,春風亭小朝,91,0.56
4,アンタッチャブル,春風亭小朝,95,1.12
4,南海キャンディーズ,春風亭小朝,90,0.42
4,麒麟,春風亭小朝,88,0.14
4,タカアンドトシ,春風亭小朝,85,-0.28
4,笑い飯,春風亭小朝,85,-0.28
4,POISON GIRL BAND,春風亭小朝,88,0.14
4,トータルテンボス,春風亭小朝,84,-0.43
4,東京ダイナマイト,春風亭小朝,87,0
4,千鳥,春風亭小朝,82,-0.71
1,中川家,春風亭小朝,90,0.42
1,ハリガネロック,春風亭小朝,70,-2.39
1,アメリカザリガニ,春風亭小朝,80,-0.99
1,ますだおかだ,春風亭小朝,80,-0.99
1,麒麟,春風亭小朝,65,-3.09
1,フットボールアワー,春風亭小朝,80,-0.99
1,キングコング,春風亭小朝,70,-2.39
1,チュートリアル,春風亭小朝,75,-1.69
1,DonDokoDon,春風亭小朝,65,-3.09
1,おぎやはぎ,春風亭小朝,75,-1.69
13,ジャルジャル,中川礼二,89,0.28
13,和牛,中川礼二,93,0.84
