Feel,expressrer,emotion,eva,obs,sex,age
0,1,0,0,1,0,25
1,1,0,1,1,0,25
0,2,3,1,1,0,25
0,2,0,1,1,0,25
1,2,3,1,1,0,25
1,2,0,0,1,0,25
0,3,1,1,1,0,25
1,3,1,1,1,0,25
0,4,3,1,1,0,25
1,4,3,1,1,0,25
0,5,2,1,1,0,25
1,5,2,1,1,0,25
0,6,2,0,1,0,25
1,6,2,0,1,0,25
0,7,1,1,1,0,25
1,7,1,1,1,0,25
0,1,0,0,2,0,25
1,1,0,1,2,0,25
0,2,3,1,2,0,25
0,2,0,0,2,0,25
1,2,3,1,2,0,25
1,2,0,0,2,0,25
0,3,1,0,2,0,25
1,3,1,1,2,0,25
0,4,3,0,2,0,25
1,4,3,1,2,0,25
0,5,2,0,2,0,25
1,5,2,0,2,0,25
0,6,2,0,2,0,25
1,6,2,1,2,0,25
0,7,1,0,2,0,25
1,7,1,1,2,0,25
0,1,0,1,3,0,20
1,1,0,1,3,0,20
0,2,3,0,3,0,20
0,2,0,0,3,0,20
1,2,3,0,3,0,20
1,2,0,1,3,0,20
0,3,1,0,3,0,20
1,3,1,0,3,0,20
0,4,3,0,3,0,20
1,4,3,1,3,0,20
0,5,2,0,3,0,20
1,5,2,1,3,0,20
0,6,2,0,3,0,20
1,6,2,0,3,0,20
0,7,1,0,3,0,20
1,7,1,0,3,0,20
0,1,0,0,4,0,25
1,1,0,1,4,0,25
0,2,3,1,4,0,25
0,2,0,0,4,0,25
1,2,3,1,4,0,25
1,2,0,1,4,0,25
0,3,1,1,4,0,25
1,3,1,1,4,0,25
0,4,3,1,4,0,25
1,4,3,1,4,0,25
0,5,2,1,4,0,25
1,5,2,1,4,0,25
0,6,2,0,4,0,25
1,6,2,1,4,0,25
0,7,1,1,4,0,25
1,7,1,1,4,0,25
0,1,0,1,5,0,24
1,1,0,1,5,0,24
0,2,3,1,5,0,24
0,2,0,0,5,0,24
1,2,3,1,5,0,24
1,2,0,0,5,0,24
0,3,1,0,5,0,24
1,3,1,1,5,0,24
0,4,3,0,5,0,24
1,4,3,1,5,0,24
0,5,2,1,5,0,24
1,5,2,1,5,0,24
0,6,2,0,5,0,24
1,6,2,0,5,0,24
0,7,1,0,5,0,24
1,7,1,0,5,0,24
0,1,0,1,6,1,24
1,1,0,1,6,1,24
0,2,3,0,6,1,24
0,2,0,0,6,1,24
1,2,3,1,6,1,24
1,2,0,1,6,1,24
0,3,1,0,6,1,24
1,3,1,1,6,1,24
0,4,3,1,6,1,24
1,4,3,0,6,1,24
0,5,2,0,6,1,24
1,5,2,1,6,1,24
0,6,2,0,6,1,24
1,6,2,1,6,1,24
0,7,1,0,6,1,24
1,7,1,1,6,1,24
0,1,0,1,7,1,24
1,1,0,1,7,1,24
0,2,3,0,7,1,24
0,2,0,0,7,1,24
1,2,3,0,7,1,24
1,2,0,1,7,1,24
0,3,1,0,7,1,24
1,3,1,1,7,1,24
0,4,3,1,7,1,24
1,4,3,1,7,1,24
0,5,2,0,7,1,24
1,5,2,0,7,1,24
0,6,2,0,7,1,24
1,6,2,0,7,1,24
0,7,1,1,7,1,24
1,7,1,1,7,1,24
0,1,0,1,8,0,23
1,1,0,1,8,0,23
0,2,3,0,8,0,23
0,2,0,1,8,0,23
1,2,3,1,8,0,23
1,2,0,1,8,0,23
0,3,1,1,8,0,23
1,3,1,1,8,0,23
0,4,3,0,8,0,23
1,4,3,0,8,0,23
0,5,2,1,8,0,23
1,5,2,1,8,0,23
0,6,2,0,8,0,23
1,6,2,0,8,0,23
0,7,1,0,8,0,23
1,7,1,1,8,0,23
0,1,0,0,9,0,23
1,1,0,0,9,0,23
0,2,3,1,9,0,23
0,2,0,0,9,0,23
1,2,3,0,9,0,23
1,2,0,1,9,0,23
0,3,1,1,9,0,23
1,3,1,0,9,0,23
0,4,3,0,9,0,23
1,4,3,1,9,0,23
0,5,2,0,9,0,23
1,5,2,1,9,0,23
0,6,2,1,9,0,23
1,6,2,0,9,0,23
0,7,1,0,9,0,23
1,7,1,0,9,0,23
0,1,0,0,10,1,24
1,1,0,1,10,1,24
0,2,3,0,10,1,24
0,2,0,0,10,1,24
1,2,3,1,10,1,24
1,2,0,0,10,1,24
0,3,1,1,10,1,24
1,3,1,0,10,1,24
0,4,3,0,10,1,24
1,4,3,1,10,1,24
0,5,2,1,10,1,24
1,5,2,0,10,1,24
0,6,2,0,10,1,24
1,6,2,0,10,1,24
0,7,1,0,10,1,24
1,7,1,1,10,1,24
0,1,0,1,11,1,24
1,1,0,1,11,1,24
0,2,3,1,11,1,24
0,2,0,0,11,1,24
1,2,3,1,11,1,24
1,2,0,1,11,1,24
0,3,1,0,11,1,24
1,3,1,1,11,1,24
0,4,3,0,11,1,24
1,4,3,1,11,1,24
0,5,2,0,11,1,24
1,5,2,1,11,1,24
0,6,2,0,11,1,24
1,6,2,1,11,1,24
0,7,1,1,11,1,24
1,7,1,0,11,1,24
0,1,0,0,12,0,25
1,1,0,1,12,0,25
0,2,3,1,12,0,25
0,2,0,0,12,0,25
1,2,3,1,12,0,25
1,2,0,0,12,0,25
0,3,1,0,12,0,25
1,3,1,0,12,0,25
0,4,3,0,12,0,25
1,4,3,1,12,0,25
0,5,2,1,12,0,25
1,5,2,1,12,0,25
0,6,2,1,12,0,25
1,6,2,1,12,0,25
0,7,1,1,12,0,25
1,7,1,0,12,0,25
0,1,0,0,13,1,24
1,1,0,1,13,1,24
0,2,3,1,13,1,24
0,2,0,0,13,1,24
1,2,3,1,13,1,24
1,2,0,0,13,1,24
0,3,1,1,13,1,24
1,3,1,1,13,1,24
0,4,3,0,13,1,24
1,4,3,1,13,1,24
0,5,2,0,13,1,24
1,5,2,1,13,1,24
0,6,2,0,13,1,24
1,6,2,0,13,1,24
0,7,1,0,13,1,24
1,7,1,1,13,1,24
0,1,0,1,14,0,23
1,1,0,1,14,0,23
0,2,3,0,14,0,23
0,2,0,0,14,0,23
1,2,3,1,14,0,23
1,2,0,0,14,0,23
0,3,1,0,14,0,23
1,3,1,1,14,0,23
0,4,3,0,14,0,23
1,4,3,1,14,0,23
0,5,2,1,14,0,23
1,5,2,0,14,0,23
0,6,2,0,14,0,23
1,6,2,0,14,0,23
0,7,1,0,14,0,23
1,7,1,1,14,0,23
0,1,0,0,15,0,25
1,1,0,0,15,0,25
0,2,3,0,15,0,25
0,2,0,0,15,0,25
1,2,3,1,15,0,25
1,2,0,1,15,0,25
0,3,1,0,15,0,25
1,3,1,1,15,0,25
0,4,3,1,15,0,25
1,4,3,1,15,0,25
0,5,2,1,15,0,25
1,5,2,1,15,0,25
0,6,2,1,15,0,25
1,6,2,0,15,0,25
0,7,1,1,15,0,25
1,7,1,0,15,0,25
0,1,0,0,16,0,23
1,1,0,1,16,0,23
0,2,3,0,16,0,23
0,2,0,1,16,0,23
1,2,3,1,16,0,23
1,2,0,1,16,0,23
0,3,1,1,16,0,23
1,3,1,1,16,0,23
0,4,3,0,16,0,23
1,4,3,1,16,0,23
0,5,2,1,16,0,23
1,5,2,1,16,0,23
0,6,2,0,16,0,23
1,6,2,1,16,0,23
0,7,1,0,16,0,23
1,7,1,1,16,0,23
0,1,0,0,17,0,23
1,1,0,1,17,0,23
0,2,3,0,17,0,23
0,2,0,0,17,0,23
1,2,3,1,17,0,23
1,2,0,0,17,0,23
0,3,1,1,17,0,23
1,3,1,1,17,0,23
0,4,3,0,17,0,23
1,4,3,1,17,0,23
0,5,2,0,17,0,23
1,5,2,1,17,0,23
0,6,2,0,17,0,23
1,6,2,1,17,0,23
0,7,1,0,17,0,23
1,7,1,1,17,0,23
0,1,0,0,18,0,26
1,1,0,1,18,0,26
0,2,3,0,18,0,26
0,2,0,0,18,0,26
1,2,3,1,18,0,26
1,2,0,1,18,0,26
0,3,1,0,18,0,26
1,3,1,1,18,0,26
0,4,3,0,18,0,26
1,4,3,1,18,0,26
0,5,2,1,18,0,26
1,5,2,1,18,0,26
0,6,2,0,18,0,26
1,6,2,1,18,0,26
0,7,1,0,18,0,26
1,7,1,0,18,0,26
0,1,0,0,19,1,24
1,1,0,1,19,1,24
0,2,3,0,19,1,24
0,2,0,0,19,1,24
1,2,3,0,19,1,24
1,2,0,1,19,1,24
0,3,1,0,19,1,24
1,3,1,0,19,1,24
0,4,3,0,19,1,24
1,4,3,0,19,1,24
0,5,2,1,19,1,24
1,5,2,1,19,1,24
0,6,2,0,19,1,24
1,6,2,1,19,1,24
0,7,1,0,19,1,24
1,7,1,1,19,1,24
0,1,0,1,20,0,24
1,1,0,1,20,0,24
0,2,3,0,20,0,24
0,2,0,0,20,0,24
1,2,3,1,20,0,24
1,2,0,1,20,0,24
0,3,1,1,20,0,24
1,3,1,1,20,0,24
0,4,3,1,20,0,24
1,4,3,1,20,0,24
0,5,2,1,20,0,24
1,5,2,1,20,0,24
0,6,2,0,20,0,24
1,6,2,1,20,0,24
0,7,1,1,20,0,24
1,7,1,1,20,0,24
0,1,0,0,21,0,23
1,1,0,1,21,0,23
0,2,3,0,21,0,23
0,2,0,0,21,0,23
1,2,3,1,21,0,23
1,2,0,1,21,0,23
0,3,1,0,21,0,23
1,3,1,1,21,0,23
0,4,3,0,21,0,23
1,4,3,1,21,0,23
0,5,2,0,21,0,23
1,5,2,1,21,0,23
0,6,2,0,21,0,23
1,6,2,1,21,0,23
0,7,1,1,21,0,23
1,7,1,1,21,0,23
0,1,0,0,22,0,22
1,1,0,1,22,0,22
0,2,3,1,22,0,22
0,2,0,0,22,0,22
1,2,3,1,22,0,22
1,2,0,0,22,0,22
0,3,1,0,22,0,22
1,3,1,1,22,0,22
0,4,3,1,22,0,22
1,4,3,1,22,0,22
0,5,2,0,22,0,22
1,5,2,1,22,0,22
0,6,2,0,22,0,22
1,6,2,1,22,0,22
0,7,1,0,22,0,22
1,7,1,1,22,0,22
0,1,0,1,23,1,23
1,1,0,1,23,1,23
0,2,3,0,23,1,23
0,2,0,1,23,1,23
1,2,3,1,23,1,23
1,2,0,1,23,1,23
0,3,1,0,23,1,23
1,3,1,1,23,1,23
0,4,3,1,23,1,23
1,4,3,1,23,1,23
0,5,2,0,23,1,23
1,5,2,1,23,1,23
0,6,2,0,23,1,23
1,6,2,1,23,1,23
0,7,1,0,23,1,23
1,7,1,1,23,1,23
0,1,0,0,24,1,24
1,1,0,1,24,1,24
0,2,3,0,24,1,24
0,2,0,0,24,1,24
1,2,3,1,24,1,24
1,2,0,1,24,1,24
0,3,1,0,24,1,24
1,3,1,0,24,1,24
0,4,3,0,24,1,24
1,4,3,1,24,1,24
0,5,2,0,24,1,24
1,5,2,1,24,1,24
0,6,2,1,24,1,24
1,6,2,0,24,1,24
0,7,1,0,24,1,24
1,7,1,1,24,1,24
0,1,0,0,25,1,26
1,1,0,1,25,1,26
0,2,3,1,25,1,26
0,2,0,0,25,1,26
1,2,3,0,25,1,26
1,2,0,0,25,1,26
0,3,1,1,25,1,26
1,3,1,1,25,1,26
0,4,3,0,25,1,26
1,4,3,1,25,1,26
0,5,2,1,25,1,26
1,5,2,0,25,1,26
0,6,2,0,25,1,26
