rt,sub,cond
1.9015,1,1
1.4076,1,1
7.7304,1,1
2.4183,1,1
2.1235,1,1
1.2904,1,1
2.3598,1,1
1.3035,1,1
1.0355,1,1
2.498,1,1
2.5198,1,1
1.5609,1,1
4.7674,1,1
6.9805,1,1
2.9364,1,1
1.6307,1,1
1.7385,1,1
2.285,1,1
5.5952,1,1
9.3694,1,1
2.1382,1,1
4.3379,1,1
3.0997,1,1
6.8444,1,1
0.92513,1,1
1.3176,1,1
1.045,1,1
2.5085,1,1
1.6713,1,1
1.1188,1,1
1.9751,1,1
1.1696,1,1
1.6201,1,1
1.4619,1,1
3.2607,1,1
8.1124,1,1
3.1066,1,1
3.4721,1,1
2.5264,1,1
2.9542,1,1
11.098,1,1
5.113,1,1
4.2251,1,1
2.4852,1,1
2.2345,1,1
4.1611,1,1
4.5934,1,1
3.5471,1,1
1.3502,1,1
1.0205,1,1
1.0785,1,1
1.3349,1,1
1.715,1,1
1.1921,1,1
1.1731,1,1
1.6788,1,1
2.8328,1,1
1.9957,1,1
1.9382,1,1
2.4325,1,1
2.958,1,1
3.6296,1,1
1.4911,1,1
13.065,1,1
4.4039,1,1
6.5087,1,1
4.5284,1,1
4.0785,1,1
4.3639,1,1
1.5399,1,1
1.4432,1,1
3.7318,1,1
1.1971,1,1
1.5207,1,1
1.0432,1,1
3.1774,1,1
2.0714,1,1
1.2435,1,1
1.1876,1,1
1.6352,1,1
1.6972,1,1
4.1871,1,1
3.1257,1,1
2.0408,1,1
1.4988,1,1
2.7783,1,1
3.9776,1,1
2.1351,1,1
16.467,1,1
3.7929,1,1
3.2878,1,1
2.1125,1,1
9.4963,1,1
2.4729,1,1
2.8903,1,1
5.2068,1,1
1.8983,1,1
1.6559,1,1
2.0116,1,1
1.1303,1,1
1.5655,1,1
1.7435,1,1
1.0621,1,1
1.1569,1,1
2.3352,1,1
2.1224,1,1
1.0775,1,1
1.5244,1,1
1.5265,1,1
2.8951,1,1
1.4685,1,1
2.8378,1,1
2.2548,1,1
2.2167,1,1
7.4788,1,1
19.288,1,1
3.097,1,1
11.024,1,1
2.7999,1,1
6.4632,1,1
2.1051,1,1
1.056,1,1
1.7422,1,1
1.4675,1,1
1.4159,1,1
1.3788,1,1
0.87439,1,1
2.0919,1,1
1.1659,1,1
1.8591,1,1
1.4158,1,1
3.6124,1,1
2.2492,1,1
2.0957,1,1
1.5629,1,1
1.3907,1,1
2.7482,1,1
5.3853,1,1
7.4592,1,1
14.568,1,1
2.2641,1,1
14.61,1,1
2.0125,1,1
1.7019,1,1
1.8297,1,1
3.05,1,1
2.4171,1,1
1.301,1,1
2.034,1,1
3.3528,1,1
1.2274,1,1
3.7601,1,1
1.6542,1,1
2.3571,1,1
7.3584,1,1
1.8594,1,1
2.7682,1,1
1.1329,1,1
1.1768,1,1
2.2112,1,1
2.2788,1,1
2.1476,1,1
2.8751,1,1
2.2001,1,1
12.306,1,1
2.7156,1,1
2.3219,1,1
2.8425,1,1
0.79755,1,1
1.9142,1,1
0.96997,1,1
0.98014,1,1
1.0688,1,1
1.1736,1,1
1.1963,1,1
1.5016,1,1
5.8008,1,1
2.835,1,1
1.3007,1,1
2.734,1,1
1.3122,1,1
1.6626,1,1
2.6027,1,1
1.1008,1,1
2.3209,1,1
3.6221,1,1
3.0262,1,1
10.084,1,1
4.9782,1,1
3.2826,1,1
4.0822,1,1
10.66,1,1
1.4663,1,2
1.0851,1,2
1.2451,1,2
2.1373,1,2
1.6762,1,2
0.88244,1,2
11.289,1,2
1.584,1,2
1.8218,1,2
16.202,1,2
2.7958,1,2
2.5845,1,2
1.8161,1,2
8.5616,1,2
3.6141,1,2
4.7316,1,2
5.8833,1,2
4.02,1,2
4.8237,1,2
6.0944,1,2
8.8604,1,2
8.9988,1,2
5.8657,1,2
4.6955,1,2
1.9524,1,2
1.0162,1,2
1.1834,1,2
1.9649,1,2
1.3621,1,2
2.2529,1,2
5.0844,1,2
1.9005,1,2
2.42,1,2
1.4539,1,2
3.8304,1,2
4.3617,1,2
1.703,1,2
2.7327,1,2
19.248,1,2
1.7622,1,2
5.0494,1,2
4.9537,1,2
1.875,1,2
8.1108,1,2
10.192,1,2
2.7431,1,2
1.9141,1,2
4.1841,1,2
1.6589,2,1
1.0658,2,1
1.1631,2,1
0.97637,2,1
0.84717,2,1
1.5009,2,1
0.90196,2,1
4.3865,2,1
2.4891,2,1
1.5148,2,1
1.4508,2,1
1.4445,2,1
1.0482,2,1
1.1999,2,1
0.99654,2,1
2.0224,2,1
11.268,2,1
2.6741,2,1
1.9774,2,1
2.8344,2,1
2.799,2,1
2.1194,2,1
2.7536,2,1
17.001,2,1
0.98743,2,1
0.97775,2,1
0.939,2,1
1.0989,2,1
1.1719,2,1
0.93588,2,1
1.3415,2,1
1.836,2,1
0.97031,2,1
1.7222,2,1
1.3527,2,1
2.4864,2,1
1.1889,2,1
1.5623,2,1
1.9468,2,1
2.8628,2,1
20.198,2,1
1.76,2,1
3.1272,2,1
1.4419,2,1
2.6274,2,1
7.1312,2,1
4.715,2,1
5.5351,2,1
0.72907,2,1
4.0994,2,1
0.75794,2,1
0.95636,2,1
1.2759,2,1
0.97385,2,1
1.2565,2,1
1.2743,2,1
1.2893,2,1
1.9701,2,1
3.2552,2,1
3.0869,2,1
2.401,2,1
1.4733,2,1
2.4038,2,1
1.0861,2,1
10.94,2,1
12.954,2,1
1.9761,2,1
1.7637,2,1
1.1452,2,1
1.6921,2,1
4.0095,2,1
7.8677,2,1
1.2117,2,1
0.88463,2,1
0.9879,2,1
0.792,2,1
0.95126,2,1
1.5264,2,1
1.8411,2,1
0.90046,2,1
1.3844,2,1
2.2557,2,1
0.9443,2,1
1.2033,2,1
2.4147,2,1
1.3793,2,1
1.3803,2,1
0.99718,2,1
2.7654,2,1
3.6547,2,1
15.342,2,1
24.205,2,1
2.0765,2,1
7.4646,2,1
7.1712,2,1
2.7172,2,1
1.0706,2,1
2.9794,2,1
1.1906,2,1
0.92716,2,1
2.7311,2,1
2.0291,2,1
4.5393,2,1
0.93133,2,1
1.4046,2,1
2.4821,2,1
2.7326,2,1
1.1573,2,1
1.2735,2,1
1.6795,2,1
0.87006,2,1
4.2577,2,1
2.0531,2,1
3.879,2,1
1.7051,2,1
3.083,2,1
2.6357,2,1
1.5671,2,1
1.7492,2,1
4.5925,2,1
1.6276,2,1
0.93235,2,1
0.81366,2,1
0.82512,2,1
1.7882,2,1
0.8547,2,1
0.90197,2,1
1.0008,2,1
1.11,2,1
1.2321,2,1
2.1967,2,1
1.1529,2,1
1.1328,2,1
1.1409,2,1
1.9136,2,1
3.5328,2,1
4.9568,2,1
1.5655,2,1
2.7371,2,1
5.8239,2,1
1.413,2,1
2.2826,2,1
3.1871,2,1
7.9127,2,1
1.9176,2,1
0.969,2,1
1.1491,2,1
1.079,2,1
0.91892,2,1
1.2159,2,1
1.0125,2,1
1.5328,2,1
1.1248,2,1
0.94373,2,1
0.96401,2,1
1.7466,2,1
1.3703,2,1
1.4553,2,1
0.87039,2,1
1.2178,2,1
13.288,2,1
4.7694,2,1
2.6275,2,1
2.1603,2,1
3.101,2,1
11.238,2,1
2.3508,2,1
1.2319,2,1
1.237,2,1
0.93842,2,1
1.02,2,1
1.3522,2,1
1.1093,2,1
1.4324,2,1
1.9859,2,1
0.99138,2,1
5.3145,2,1
1.8366,2,1
2.2837,2,1
1.3426,2,1
2.4114,2,1
5.4127,2,1
2.2162,2,1
1.416,2,1
3.7302,2,1
2.0535,2,1
2.5181,2,1
16.403,2,1
9.6166,2,1
5.3603,2,1
3.1301,2,1
6.2061,2,1
6.7055,2,2
1.2872,2,2
1.381,2,2
2.0396,2,2
1.2173,2,2
1.6253,2,2
1.8749,2,2
1.3259,2,2
2.7257,2,2
2.2851,2,2
2.3571,2,2
2.3098,2,2
2.0849,2,2
1.3096,2,2
17.628,2,2
1.6783,2,2
3.4918,2,2
2.1846,2,2
7.3141,2,2
2.9495,2,2
1.4892,2,2
11.611,2,2
1.9969,2,2
51.251,2,2
0.91358,2,2
1.1517,2,2
1.6866,2,2
1.8514,2,2
1.6022,2,2
0.87455,2,2
1.304,2,2
1.2001,2,2
2.8902,2,2
1.9992,2,2
5.135,2,2
1.1503,2,2
2.4735,2,2
1.5139,2,2
1.3754,2,2
6.4772,2,2
2.356,2,2
2.5802,2,2
1.5188,2,2
4.6768,2,2
7.5276,2,2
10.416,2,2
5.3036,2,2
8.679,2,2
1.6094,3,1
0.84666,3,1
1.2803,3,1
1.3226,3,1
0.95499,3,1
0.95899,3,1
1.0552,3,1
1.8067,3,1
1.7214,3,1
2.7775,3,1
3.61,3,1
1.3564,3,1
1.9441,3,1
0.85193,3,1
1.932,3,1
1.2996,3,1
1.9118,3,1
1.3052,3,1
1.1706,3,1
1.4346,3,1
12.239,3,1
1.363,3,1
1.99,3,1
3.3844,3,1
1.061,3,1
0.84231,3,1
0.95201,3,1
1.7811,3,1
1.0775,3,1
1.5015,3,1
1.0243,3,1
1.1802,3,1
1.1121,3,1
1.5448,3,1
4.3365,3,1
1.4025,3,1
1.9745,3,1
1.4957,3,1
1.0366,3,1
2.4487,3,1
1.0644,3,1
2.7183,3,1
1.0669,3,1
1.4107,3,1
4.9936,3,1
1.5279,3,1
2.4634,3,1
2.8989,3,1
0.93564,3,1
1.3784,3,1
1.2012,3,1
1.2564,3,1
1.1467,3,1
0.80832,3,1
1.0469,3,1
1.3054,3,1
3.1218,3,1
2.1552,3,1
0.89203,3,1
1.0241,3,1
2.6941,3,1
1.3523,3,1
1.006,3,1
1.2447,3,1
5.8583,3,1
1.2861,3,1
6.6625,3,1
1.585,3,1
2.4898,3,1
4.2759,3,1
1.7257,3,1
4.1887,3,1
1.2123,3,1
1.3388,3,1
0.77627,3,1
1.4702,3,1
1.2605,3,1
1.2274,3,1
0.95507,3,1
1.8227,3,1
1.5778,3,1
1.4557,3,1
1.3337,3,1
2.8613,3,1
1.3484,3,1
2.333,3,1
1.0862,3,1
1.8052,3,1
2.7578,3,1
6.6497,3,1
2.075,3,1
1.958,3,1
2.2098,3,1
1.1826,3,1
2.3478,3,1
2.976,3,1
1.5342,3,1
2.2686,3,1
0.85718,3,1
1.1949,3,1
0.95634,3,1
1.0219,3,1
0.98883,3,1
0.98268,3,1
1.6262,3,1
2.5436,3,1
1.8519,3,1
1.3402,3,1
1.193,3,1
0.74947,3,1
2.3332,3,1
1.838,3,1
2.9223,3,1
1.375,3,1
3.2377,3,1
1.9989,3,1
2.3764,3,1
2.4827,3,1
3.5369,3,1
4.4158,3,1
1.1193,3,1
0.99745,3,1
1.3666,3,1
1.1182,3,1
1.4179,3,1
1.3537,3,1
0.94617,3,1
1.2705,3,1
1.283,3,1
1.8443,3,1
1.8783,3,1
1.607,3,1
1.4639,3,1
1.5974,3,1
1.2853,3,1
1.1401,3,1
2.567,3,1
4.9728,3,1
11.827,3,1
3.7807,3,1
1.244,3,1
1.2063,3,1
1.8526,3,1
1.3952,3,1
1.6818,3,1
1.0333,3,1
0.7053,3,1
1.6914,3,1
1.2477,3,1
0.83548,3,1
1.1293,3,1
0.88722,3,1
2.7682,3,1
0.94837,3,1
0.90586,3,1
1.4357,3,1
0.79475,3,1
1.4436,3,1
1.3742,3,1
1.1975,3,1
2.553,3,1
1.6162,3,1
1.5174,3,1
3.1066,3,1
3.1125,3,1
1.2733,3,1
1.9893,3,1
5.1983,3,1
1.2969,3,1
0.77844,3,1
1.2075,3,1
1.5772,3,1
0.98835,3,1
1.2879,3,1
0.70454,3,1
0.94023,3,1
1.6652,3,1
1.436,3,1
0.66863,3,1
2.2629,3,1
0.81802,3,1
1.2315,3,1
1.7648,3,1
1.2641,3,1
2.3476,3,1
15.387,3,1
1.5628,3,1
1.8597,3,1
11.684,3,1
4.4062,3,1
1.4424,3,1
2.1904,3,1
2.0375,3,2
3.1176,3,2
1.5081,3,2
13.755,3,2
1.5291,3,2
4.8254,3,2
2.0537,3,2
1.9666,3,2
2.0377,3,2
1.8986,3,2
2.5967,3,2
1.6256,3,2
1.2634,3,2
1.558,3,2
3.895,3,2
1.7669,3,2
3.7355,3,2
4.9917,3,2
1.9122,3,2
2.0633,3,2
1.9321,3,2
12.417,3,2
4.686,3,2
2.5539,3,2
1.518,3,2
0.92152,3,2
1.2334,3,2
1.1874,3,2
1.7923,3,2
0.92834,3,2
1.8092,3,2
1.1405,3,2
4.949,3,2
1.8051,3,2
2.4614,3,2
2.8594,3,2
2.728,3,2
4.0983,3,2
3.373,3,2
2.2014,3,2
1.8626,3,2
2.3213,3,2
2.7249,3,2
1.844,3,2
1.5072,3,2
2.9664,3,2
19.545,3,2
1.9934,3,2
2.548,4,1
1.8861,4,1
1.4192,4,1
1.1229,4,1
1.337,4,1
1.6798,4,1
1.2733,4,1
1.4727,4,1
2.9952,4,1
1.408,4,1
2.5494,4,1
2.0395,4,1
4.054,4,1
1.468,4,1
1.3469,4,1
0.65812,4,1
8.7933,4,1
10.924,4,1
1.9133,4,1
2.1034,4,1
4.3517,4,1
8.5299,4,1
1.5604,4,1
4.7828,4,1
1.1183,4,1
1.9301,4,1
1.2499,4,1
1.3455,4,1
2.4678,4,1
2.3892,4,1
5.3523,4,1
0.82539,4,1
2.4153,4,1
2.7156,4,1
2.1983,4,1
3.3996,4,1
1.5807,4,1
2.9173,4,1
1.3479,4,1
7.9976,4,1
1.8235,4,1
14.092,4,1
1.9671,4,1
2.3143,4,1
1.814,4,1
4.3081,4,1
52.646,4,1
2.3364,4,1
0.76395,4,1
1.8767,4,1
1.3929,4,1
0.9194,4,1
1.02,4,1
0.96213,4,1
1.0337,4,1
1.0868,4,1
1.569,4,1
7.3432,4,1
5.9893,4,1
0.94884,4,1
1.407,4,1
2.4035,4,1
1.01,4,1
4.9899,4,1
1.2484,4,1
1.7694,4,1
6.0977,4,1
8.4987,4,1
2.5718,4,1
3.2375,4,1
4.57,4,1
3.4435,4,1
1.1561,4,1
1.9925,4,1
0.91928,4,1
0.90391,4,1
1.1602,4,1
1.0836,4,1
3.2684,4,1
2.4598,4,1
3.3864,4,1
1.0556,4,1
3.9704,4,1
2.2683,4,1
1.1485,4,1
2.1619,4,1
3.7105,4,1
3.468,4,1
4.1404,4,1
23.792,4,1
1.3436,4,1
55.075,4,1
3.9781,4,1
2.9597,4,1
8.5489,4,1
2.6445,4,1
0.95828,4,1
1.2332,4,1
2.8232,4,1
1.3825,4,1
0.91003,4,1
2.0669,4,1
0.98678,4,1
1.5384,4,1
1.2786,4,1
1.5859,4,1
2.1669,4,1
2.1633,4,1
1.4115,4,1
2.1624,4,1
1.7276,4,1
